l,3757794154449,-0.08966151,0.034993395,0.038715363
r,3757794154449,-0.014894499,-0.0054843295,-0.8695832
l,3757802546783,-0.087320596,0.034017686,0.038140297
r,3757802546783,-0.0147773875,-0.005472763,-0.8695151
l,3757810969635,-0.12536663,0.04845885,-0.016618729
l,3757819361969,-0.10145283,0.053842552,0.03910446
r,3757810969635,-0.014742513,-0.005515058,-0.869434
r,3757819361969,-0.014728045,-0.0055425745,-0.86933994
l,3757827754303,-0.092318445,0.02733149,0.03383255
l,3757834437652,-0.10261896,0.027103372,-0.010293961
r,3757827754303,-0.014644289,-0.005507485,-0.8692902
r,3757834437652,-0.014572519,-0.005481146,-0.86923766
l,3757844508453,-0.10034236,0.02574037,0.029996872
l,3757852900787,-0.09989095,0.024952445,0.02960682
r,3757844508453,-0.014572599,-0.005492974,-0.86918056
r,3757852900787,-0.014535739,-0.005516597,-0.86911833
l,3757861323639,-0.07527825,0.030583594,0.029201508
r,3757861323639,-0.014452138,-0.0055509913,-0.8690775
l,3757869685455,-0.08589724,0.02380452,0.01939106
r,3757869685455,-0.014427514,-0.005581804,-0.869022
l,3757878077789,-0.08616081,0.023566391,0.019166946
r,3757878077789,-0.014432303,-0.00559983,-0.86896193
l,3757886470123,-0.09513667,0.02815105,0.043706894
r,3757886470123,-0.014403166,-0.005596725,-0.8689086
l,3757894862457,-0.10829213,0.011214472,-0.0017299652
r,3757894862457,-0.014350928,-0.0055790134,-0.8688556
l,3757903285309,-0.08777186,0.035685323,0.026643753
l,3757911647125,-0.08406067,0.020833235,0.026305199
r,3757903285309,-0.014328078,-0.0056038788,-0.8687905
l,3757920039459,-0.091754496,0.020275265,0.03658104
r,3757911647125,-0.014311473,-0.0056226845,-0.8687466
l,3757928706451,-0.10074091,0.017227456,0.014849663
r,3757920039459,-0.014271456,-0.0056316326,-0.8687017
l,3757936854644,-0.10016543,0.01580974,0.014663696
r,3757928706451,-0.014232374,-0.0056466092,-0.8686403
r,3757936854644,-0.014176767,-0.005692355,-0.8685902
l,3757945216461,-0.102056086,0.027316142,0.03572941
r,3757945216461,-0.014118552,-0.005749817,-0.8685343
l,3757953608795,-0.09676361,0.021756131,0.023459435
r,3757953608795,-0.014079667,-0.005771477,-0.8684612
l,3757962001129,-0.07978153,0.027117401,0.018434525
r,3757962001129,-0.014055984,-0.005793336,-0.86840403
l,3757970423980,-0.08794418,0.013434511,0.02764225
r,3757970423980,-0.014034765,-0.005811715,-0.86834985
l,3757978785797,-0.10277054,0.020194959,0.024916649
r,3757978785797,-0.013995811,-0.005814149,-0.8682819
l,3757987178131,-0.07365507,0.027183019,-0.011974335
r,3757987178131,-0.013974849,-0.0058150725,-0.8682253
l,3757995600982,-0.073381454,0.026569027,-0.011786461
r,3757995600982,-0.013949645,-0.0058366135,-0.86813927
l,3758003993316,-0.09419599,0.01979354,0.016711235
r,3758003993316,-0.0139028225,-0.005853558,-0.86808366
l,3758012355133,-0.10295677,0.032258622,0.016497612
r,3758012355133,-0.013853729,-0.0058662505,-0.8679973
l,3758020777984,-0.0905717,0.031848233,-0.0025901794
r,3758020777984,-0.013827936,-0.005874019,-0.8679866
l,3758029170318,-0.08514461,0.047248363,0.036390305
r,3758029170318,-0.013798569,-0.0058668484,-0.8679502
l,3758035884185,-0.08437726,0.046928782,0.03589821
r,3758035884185,-0.013760317,-0.0058628377,-0.8679376
l,3758045954986,-0.08294472,0.02975848,0.04368782
r,3758045954986,-0.013740296,-0.005875381,-0.8679195
l,3758054347320,-0.082395405,0.028931044,0.043097496
l,3758062739654,-0.08898112,0.020627044,0.035443306
r,3758054347320,-0.013698936,-0.0058967555,-0.8679006
l,3758071101471,-0.1037083,0.03061321,0.025533676
r,3758062739654,-0.01364956,-0.005929057,-0.8678766
l,3758079493805,-0.06771314,0.03019059,0.022841454
l,3758087916656,-0.113588035,0.031987797,0.037880898
r,3758071101471,-0.013597925,-0.0059423847,-0.8678558
l,3758096278473,-0.10178283,0.012747049,7.867813E-4
r,3758079493805,-0.013583939,-0.005957662,-0.8678423
l,3758104670807,-0.08565074,0.011105098,-0.014539719
r,3758087916656,-0.01353905,-0.005964754,-0.86782515
r,3758096278473,-0.0134958625,-0.005944357,-0.86785036
l,3758113093658,-0.08540326,0.010463655,-0.0143117905
r,3758104670807,-0.013463402,-0.005950484,-0.8678377
l,3758121455475,-0.09549618,0.0384674,-0.011732101
r,3758113093658,-0.013439849,-0.005970533,-0.86786133
l,3758129847809,-0.084096104,0.008520652,0.020301819
r,3758121455475,-0.013397527,-0.0059832535,-0.8678733
l,3758138270660,-0.081166714,0.030741803,0.023572922
l,3758146632476,-0.066598594,5.1053055E-4,0.036251068
r,3758129847809,-0.013371577,-0.0059710857,-0.86786675
l,3758155055328,-0.07237062,0.0180007,0.01807499
r,3758138270660,-0.013337749,-0.0059798546,-0.86785305
l,3758163417144,-0.07185727,0.017404022,0.017837524
r,3758146632476,-0.013322103,-0.0059875855,-0.8678794
l,3758171809478,-0.07974517,0.0018666089,-1.0204315E-4
r,3758155055328,-0.0133033665,-0.006001619,-0.8678699
l,3758180201812,-0.07915923,0.0018789992,-8.583069E-5
r,3758163417144,-0.013269909,-0.0060030217,-0.86786866
r,3758171809478,-0.01325099,-0.0059921965,-0.86786425
l,3758188624664,-0.071164966,0.014294736,-0.004790306
r,3758180201812,-0.0132285105,-0.00597846,-0.8678841
l,3758196986480,-0.08364111,0.036298223,0.0259552
r,3758188624664,-0.013179906,-0.005990087,-0.8678879
l,3758205409332,-0.07633719,0.01456362,0.031520844
r,3758196986480,-0.013135232,-0.0060044886,-0.86786926
r,3758205409332,-0.013125964,-0.0060099275,-0.86788696
l,3758213801666,-0.08575642,-0.0044689253,0.012244225
r,3758213801666,-0.013122864,-0.006002547,-0.8678816
l,3758222194000,-0.07481721,-0.0051001944,0.027433395
r,3758222194000,-0.013128402,-0.0059762783,-0.867889
l,3758230586334,-0.074471265,-0.0050663725,0.027071953
r,3758230586334,-0.0131155085,-0.0059669283,-0.86790824
l,3758237300201,-0.07777518,0.029899681,0.018457413
r,3758237300201,-0.0130830025,-0.00599831,-0.86789036
l,3758247340484,-0.07762432,0.029019954,0.018226624
